Trípode	Mobiliari i Fusteria decorativa
Trofeu	Escultura i Medalles
tub	Estris i Metallisteria
Urbanització	Arquitectura
Vaixella	Estris i Metallisteria
vàter	Mobiliari i Fusteria decorativa
ventall	Vestuari i altres peces de vestit
vestit femení	Vestuari i altres peces de vestit
vidre	Vitrall
Vitrall	Vitrall
Vitrina	Mobiliari i Fusteria decorativa
xemeneia	Ceràmica i Mosaic
complement	Vestuari i altres peces de vestit
diploma	Arts Gràfiques
unió	Arquitectura
segona residència	Arquitectura
accessori	Vestuari i altres peces de vestit
